Kanda/Books,Sarga/Chapters,Shloka/Verse,English_translation
Bala,4,8,"read sing melodious adaptable music scales sevenfold tune 
 orchestral tunes string instrument rhythm included"
Bala,4,9,Aesthetics like romance pathos comic fury fright valour etc embodying epic sung
Bala,4,10,"conversant art music proficient pitch pausing 
 voices brothers wealthy voice look like celestial 
 singers"
Bala,4,11,"charm appearance melodiousness voice like 
 reflections original object came body Rama separately"
Bala,4,12,"princes memorized virtue expounding epic best entirety 
 rendered epic faultlessly"
Bala,4,13,"sung epic schooled aware content intent assemblages 
 sages scholars eminent persons best concentration"
Bala,4,14,"great souls endowed musical talent remarkable features 
 sung epic standing nearby midst gathering sages pious souls"
Bala,4,15,"hearing eyes sages overspread tears happiness 
 appreciated saying ' splendid splendid "
Bala,4,16,"saints saint patrons virtue pleased heart praised praiseworthy 
 Kusha Lava singing"
Bala,4,17," melody ballad especially meaning verses aha Superb 
 happened long ago shown like happening presently"
Bala,4,18," getting mood epic sang import tune melodiously 
 rapturously marinating pitch tune"" said saints"
Bala,4,19,"great saints blessed ascesis appreciating way melodiously 
 sang effectually meaningfully"
Bala,4,20,"pleased saint got bestowed handy vessel reputed 
 sage lauding contributed jute robe"
Bala,4,21,"sage bestowed black deerskin like sacred thread 
 gave water pot great saint girdle maunja grass singers way 
 contributed cloth sage gladly contributed hatchet 
 saffron clothe saint bestowed cloth wrapper delivered tuft headband 
 enchanted singing ballad handed sacrificial vessel 
 bundle firewood sticks gave plank seat audambari wood 
 called forth blessings happily chanted bless hymns longevity 
 truth avowing saints great sages bestowed boons"
Bala,4,26," Surprising said rendering Valmiki subsistence tomorrow 
 poets completed sequentially"
Bala,4,27,"song generates longevity prosperity melodious 
 ears sung streets king ways singers 
 experts singing kind music appreciated Rama seen"
Bala,4,29,"seeing Rama enemy eliminator fetched honour worthy bothers Lava 
 Kusha palace honoured"
Bala,4,30,"king Rama surrounded ministers brothers sitting nearby 
 sat divine golden throne"
Bala,4,31,"Having seen mannerly brothers endowed beautiful features Rama spoke Lakshmana 
 Shatrughna Bharata likewise"
Bala,4,32,"Rama said"" Let ballad keenly heard divinely resplendent brothers 
 contains versatile words meanings ' motivated singers"
Bala,4,33,"singers sung ballad melodiously effectually clear 
 clarified voices like melody string rhythmic instruments clear 
 meaningful intonation"
Bala,4,34,"Enthralling courtier bodies minds hearts song shone forth 
 ears bearing comfort manifestation gathering people"
Bala,4,35," saint like Kusha Lava possess kingly features great 
 hermits narration endowing good fortune listen great efficacious 
 legend"
Bala,4,36,"singers motivated Rama words sang ballad maarga system 
 versed Rama congregation pacify 
 mind interested heart"
Bala,5,1,"time victorious kings starting Prajapati s entire earth islands kings 
 king named Sagara known deepening oceans 
 thousand sons fencing set action dynasty 
 Ikshvaku kings highly revered reputed epic Ramayana originated"
Bala,5,4,"legend wish relate Ramayana entirely completely 
 beginning endowed values means probity prosperity pleasure 
 seeking listened caviling"
Bala,5,5,"great kingdom named Kosala joyous vast flourishing monies cereals 
 snugly situated riverbanks Sarayu"
Bala,5,6,"world renowned city kingdom personally built Manu foremost 
 ruler mankind"
Bala,5,7,"glorious city devised highways yojana s lengthwise yojana s 
 breadth wise"
Bala,5,8,"city shines forth laid great royal highways wetted water 
 flowers strewn scattered"
Bala,5,9,"improver great kingdom Dasharatha king abode Indra heavens 
 abode"
